Window,Num threads,Num Variables,Num locks,Num unique good writes,Estimate Cost,Estimate Time Taken,Num mmaps,Max stack size,Max seen size,Node explored,Node seen before,Time taken (sec),Window result,Window Size
0,2,10,0,0,11,0.028,1,2,64,65,0,0.028,true,10
1,1,10,0,0,110,0.032,10,1,10,110,0,0.034,true,10
2,1,10,0,5,110,0.037,10,1,10,110,0,0.038,true,10
3,1,10,0,10,110,0.04,10,1,10,110,0,0.042,true,10
4,1,10,0,9,110,0.039,10,1,10,110,0,0.04,true,10
5,1,4,1,4,110,0.038,10,1,10,110,0,0.04,true,10
6,1,2,1,2,110,0.038,10,1,10,110,0,0.04,true,10
7,1,3,1,4,110,0.038,10,1,10,110,0,0.04,true,10
8,1,3,1,4,110,0.039,10,1,10,110,0,0.04,true,10
9,1,4,1,4,110,0.038,10,1,10,110,0,0.039,true,10
10,1,3,1,3,110,0.039,10,1,10,110,0,0.041,true,10
11,1,2,1,2,110,0.038,10,1,10,110,0,0.04,true,10
12,1,3,1,4,110,0.038,10,1,10,110,0,0.04,true,10
13,1,3,1,4,110,0.038,10,1,10,110,0,0.04,true,10
14,1,4,1,4,110,0.038,10,1,10,110,0,0.04,true,10
15,1,3,1,3,110,0.039,10,1,10,110,0,0.041,true,10
16,1,2,1,2,110,0.038,10,1,10,110,0,0.04,true,10
17,1,3,1,4,110,0.038,10,1,10,110,0,0.04,true,10
18,1,3,1,4,110,0.038,10,1,10,110,0,0.04,true,10
19,1,4,1,4,110,0.04,10,1,10,110,0,0.042,true,10
20,1,3,1,3,110,0.038,10,1,10,110,0,0.04,true,10
21,2,9,1,8,110,0.039,10,4,33,340,23,0.045,true,10
22,1,10,0,10,110,0.037,10,1,10,110,0,0.039,true,10
23,2,9,0,9,110,0.039,10,7,43,440,33,0.047,true,10
24,1,3,1,4,110,0.037,10,1,10,110,0,0.039,true,10
25,1,3,1,4,110,0.039,10,1,10,110,0,0.041,true,10
26,1,3,1,2,110,0.039,10,1,10,110,0,0.041,true,10
27,1,2,1,3,110,0.039,10,1,10,110,0,0.041,true,10
28,1,3,1,3,110,0.039,10,1,10,110,0,0.041,true,10
29,1,2,1,3,110,0.039,10,1,10,110,0,0.04,true,10
30,1,3,1,4,110,0.038,10,1,10,110,0,0.04,true,10
31,1,3,1,4,110,0.038,10,1,10,110,0,0.04,true,10
32,1,5,1,4,110,0.038,10,1,10,110,0,0.04,true,10
33,1,3,1,4,110,0.039,10,1,10,110,0,0.041,true,10
34,1,3,1,2,110,0.038,10,1,10,110,0,0.04,true,10
35,1,2,1,3,110,0.039,10,1,10,110,0,0.04,true,10
36,1,3,1,3,110,0.038,10,1,10,110,0,0.04,true,10
37,1,3,1,4,110,0.038,10,1,10,110,0,0.04,true,10
38,2,5,1,5,110,0.039,10,6,38,390,24,0.047,true,10
39,1,3,1,3,110,0.038,10,1,10,110,0,0.04,true,10
40,1,4,1,3,110,0.038,10,1,10,110,0,0.04,true,10
41,1,3,1,2,110,0.04,10,1,10,110,0,0.041,true,10
42,1,4,1,3,110,0.038,10,1,10,110,0,0.039,true,10
43,1,3,1,2,110,0.039,10,1,10,110,0,0.041,true,10
44,1,2,1,3,110,0.039,10,1,10,110,0,0.04,true,10
45,1,3,1,4,110,0.038,10,1,10,110,0,0.04,true,10
46,1,4,1,5,110,0.038,10,1,10,110,0,0.04,true,10
47,1,3,1,4,110,0.038,10,1,10,110,0,0.04,true,10
48,1,3,1,4,110,0.038,10,1,10,110,0,0.04,true,10
49,1,3,1,2,110,0.038,10,1,10,110,0,0.04,true,10
50,1,2,1,3,110,0.039,10,1,10,110,0,0.041,true,10
51,1,2,1,3,110,0.039,10,1,10,110,0,0.041,true,10
52,1,3,1,4,110,0.04,10,1,10,110,0,0.042,true,10
53,2,3,1,4,110,0.039,10,2,19,200,9,0.043,true,10
54,1,2,1,2,110,0.039,10,1,10,110,0,0.041,true,10
55,1,3,1,4,110,0.039,10,1,10,110,0,0.041,true,10
56,1,2,1,3,110,0.039,10,1,10,110,0,0.041,true,10
57,1,3,1,4,110,0.038,10,1,10,110,0,0.039,true,10
58,1,2,1,3,110,0.038,10,1,10,110,0,0.04,true,10
59,1,3,1,3,110,0.038,10,1,10,110,0,0.04,true,10
60,1,2,1,3,110,0.039,10,1,10,110,0,0.04,true,10
61,1,2,1,3,99,0.038,9,1,10,99,0,0.04,true,10
62,1,3,1,4,99,0.038,9,1,10,99,0,0.039,true,10
63,1,3,1,4,99,0.039,9,1,10,99,0,0.04,true,10
64,1,4,1,5,99,0.038,9,1,10,99,0,0.04,true,10
65,2,4,1,4,99,0.038,9,2,19,180,9,0.041,true,10
