Window,Num threads,Num Variables,Num locks,Num unique good writes,Num mmaps,Max stack size,Max seen size,Time taken (sec),Window result,Window Size
0,2,1,1,2,4,26,1,0,true,10
1,2,1,1,2,4,25,2,0,true,10
2,2,1,1,2,2,19,1,0,true,10
3,2,1,1,2,1,5,0,0,false,10
0,2,1,1,2,38,2525,2,0.016,true,100
1,2,1,1,2,37,2407,2,0.015,true,100
2,2,1,1,2,38,2525,2,0.03,true,100
3,2,1,1,2,37,2407,2,0.014,true,100
4,2,1,1,2,38,2525,2,0.031,true,100
5,2,1,1,2,37,2407,2,0.014,true,100
6,2,1,1,2,38,2525,2,0.029,true,100
7,2,1,1,2,37,2407,2,0.015,true,100
8,2,1,1,2,38,2525,2,0.028,true,100
9,2,1,1,2,37,2407,2,0.014,true,100
10,2,1,1,2,38,2525,2,0.028,true,100
11,2,1,1,2,37,2407,2,0.015,true,100
12,2,1,1,2,38,2525,2,0.028,true,100
13,2,1,1,2,37,2407,2,0.015,true,100
14,2,1,1,2,38,2525,2,0.029,true,100
15,2,1,1,2,37,2407,2,0.014,true,100
16,2,1,1,2,38,2525,2,0.029,true,100
17,2,1,1,2,37,2407,2,0.014,true,100
18,2,1,1,2,38,2525,2,0.028,true,100
19,2,1,1,2,37,2407,2,0.014,true,100
20,2,1,1,2,38,2525,2,0.03,true,100
21,2,1,1,2,37,2407,2,0.014,true,100
22,2,1,1,2,38,2525,2,0.029,true,100
23,2,1,1,2,37,2407,2,0.014,true,100
24,2,1,1,2,38,2525,2,0.029,true,100
25,2,1,1,2,37,2407,2,0.014,true,100
26,2,1,1,2,38,2525,2,0.034,true,100
27,2,1,1,2,37,2407,2,0.016,true,100
28,2,1,1,2,38,2525,2,0.034,true,100
29,2,1,1,2,37,2407,2,0.015,true,100
30,2,1,1,2,38,2525,2,0.03,true,100
31,2,1,1,2,36,2353,0,0.015,false,100
0,2,1,1,2,19,626,1,0.004,true,50
1,2,1,1,2,19,615,2,0.003,true,50
2,2,1,1,2,17,554,1,0.003,true,50
3,2,1,1,2,1,25,0,0,false,50
