Window,Num threads,Num Variables,Num locks,Num unique good writes,Num mmaps,Max stack size,Max seen size,Time taken (sec),Window result
0,3,25,1,28,1,63,113046,2.065,true
1,3,25,1,41,24,50,24105,14.552,true
2,1,19,1,31,24,1,120,0.041,true
3,2,23,1,30,24,33,3208,1.359,true
4,2,25,1,31,24,75,4329,1.895,true
5,2,25,1,33,24,75,4830,2.125,true
6,2,25,1,28,24,72,4779,2.22,true
7,2,25,1,31,24,64,4186,1.95,true
8,3,25,1,29,24,89,88283,56.684,true
9,1,13,0,12,24,1,120,0.04,true
10,1,8,0,8,24,1,120,0.038,true
11,2,18,1,19,24,101,7001,3.294,true
12,3,25,1,29,24,75,19548,11.517,true
13,1,24,1,28,24,1,82,0.035,true
