Window,Num threads,Num Variables,Num locks,Num unique good writes,Estimate Cost,Estimate Time Taken,Num mmaps,Max stack size,Max seen size,Node explored,Node seen before,Time taken (sec),Window result
0,2,25,0,22,51,0.152,1,2,978,979,4,0.165,true
1,1,10,1,15,1275,0.179,25,1,50,1275,0,0.197,true
2,1,9,1,14,1275,0.181,25,1,50,1275,0,0.2,true
3,1,9,1,13,1275,0.181,25,1,50,1275,0,0.199,true
4,3,25,1,29,10256.2,0.184,25,62,11372,284325,18940,7.325,true
5,1,9,1,15,1275,0.181,25,1,50,1275,0,0.2,true
6,1,9,1,13,1275,0.185,25,1,50,1275,0,0.203,true
7,2,10,1,13,1081,0.108,25,16,594,14875,424,0.387,true
8,1,10,1,13,1275,0.183,25,1,50,1275,0,0.201,true
9,1,9,1,12,1275,0.182,25,1,50,1275,0,0.201,true
10,2,11,1,15,3079,0.188,25,25,786,19675,616,0.563,true
11,1,12,1,14,1275,0.183,25,1,50,1275,0,0.201,true
12,1,10,1,13,1275,0.184,25,1,50,1275,0,0.203,true
13,2,12,1,16,1275,0.185,25,2,99,2500,49,0.226,true
14,1,10,1,14,1275,0.194,25,1,50,1275,0,0.213,true
15,2,13,1,15,4113,0.188,25,21,822,20575,698,0.592,true
16,1,11,1,10,1275,0.183,25,1,50,1275,0,0.202,true
17,2,15,1,17,5178.5,0.176,25,34,976,24425,858,0.65,true
18,1,13,1,16,1275,0.184,25,1,50,1275,0,0.203,true
19,2,17,1,20,5666.75,0.188,25,41,957,23950,869,0.65,true
20,1,11,1,14,1275,0.182,25,1,50,1275,0,0.2,true
21,2,13,1,13,4608,0.186,25,30,1051,26300,1001,0.709,true
22,1,7,0,7,1275,0.179,25,1,50,1275,0,0.197,true
23,1,5,0,5,1275,0.178,25,1,50,1275,0,0.196,true
24,1,3,0,3,1275,0.178,25,1,50,1275,0,0.195,true
25,1,5,0,5,1275,0.179,25,1,50,1275,0,0.195,true
26,1,4,0,4,1275,0.177,25,1,50,1275,0,0.195,true
27,2,8,0,8,2903,0.18,25,21,801,20050,751,0.561,true
28,1,11,1,13,1275,0.184,25,1,50,1275,0,0.203,true
29,2,19,1,19,7567,0.188,25,48,1151,28800,1069,0.746,true
30,1,13,1,15,1275,0.19,25,1,50,1275,0,0.21,true
31,2,17,1,19,2501.5,0.186,25,16,673,16850,623,0.511,true
32,1,15,1,17,1075,0.155,25,1,42,1075,0,0.171,true
