Window,Num threads,Num Variables,Num locks,Num unique good writes,Num mmaps,Max stack size,Max seen size,Time taken (sec),Window result
0,2,6,1,10,7,268,1,0.002,true
1,3,4,1,11,6,197,1,0.002,true
2,2,3,1,11,3,99,1,0.001,true
3,1,2,1,11,1,50,1,0,true
4,1,2,1,10,1,50,1,0,true
5,1,2,1,11,1,50,1,0,true
6,1,2,1,9,1,50,1,0,true
7,1,2,1,10,1,50,1,0,true
8,1,2,1,10,1,50,1,0,true
9,1,2,1,11,1,50,1,0,true
10,1,2,1,10,1,50,1,0,true
11,1,2,1,10,1,50,1,0,true
12,1,2,1,11,1,50,1,0,true
13,1,2,1,11,1,50,1,0,true
14,1,2,1,11,1,50,1,0,true
15,1,2,1,11,1,50,1,0,true
16,1,2,1,9,1,50,1,0,true
17,1,2,1,10,1,50,1,0,true
18,1,2,1,10,1,50,1,0,true
19,1,2,1,10,1,50,1,0,true
20,1,2,1,11,1,50,1,0,true
21,1,2,1,11,1,50,1,0,true
22,1,2,1,11,1,50,1,0,true
23,1,2,1,10,1,50,1,0,true
24,1,2,1,9,1,50,1,0,true
25,1,2,1,10,1,50,1,0,true
26,1,2,1,10,1,50,1,0,true
27,1,2,1,10,1,50,1,0,true
28,1,2,1,11,1,50,1,0,true
29,1,2,1,11,1,50,1,0,true
30,1,2,1,10,1,50,1,0,true
31,1,2,1,11,1,50,1,0,true
32,1,2,1,10,1,50,1,0,true
33,1,2,1,9,1,50,1,0,true
34,1,2,1,10,1,50,1,0,true
35,2,4,1,12,12,127,1,0.001,true
36,2,4,1,12,14,149,1,0.001,true
37,2,4,1,12,15,153,1,0.001,true
38,2,4,1,12,13,148,1,0.001,true
39,2,4,1,10,16,162,1,0.001,true
40,1,3,1,13,1,50,1,0,true
41,1,3,1,12,1,50,1,0,true
42,2,4,1,11,5,74,1,0,true
43,1,3,1,12,1,50,1,0,true
44,1,3,1,11,1,50,1,0,true
45,1,3,1,13,1,50,1,0,true
46,2,4,1,11,6,86,1,0,true
47,2,4,1,12,6,86,1,0,true
48,2,4,1,13,5,104,1,0.001,true
49,1,3,1,11,1,50,1,0,true
50,2,4,1,13,7,148,1,0.001,true
51,2,4,1,12,7,128,1,0.001,true
52,1,3,1,11,1,50,1,0,true
53,1,3,1,12,1,50,1,0,true
54,1,3,1,11,1,50,1,0,true
55,1,3,1,12,1,50,1,0,true
56,1,3,1,13,1,50,1,0,true
57,1,3,1,11,1,50,1,0,true
58,1,3,1,11,1,50,1,0,true
59,1,3,1,12,1,50,1,0,true
60,1,3,1,11,1,50,1,0,true
61,1,3,1,11,1,50,1,0,true
62,1,3,1,12,1,50,1,0,true
63,1,3,1,12,1,50,1,0,true
64,1,3,1,12,1,50,1,0,true
65,1,3,1,12,1,50,1,0,true
66,1,3,1,12,1,50,1,0,true
67,1,3,1,13,1,50,1,0,true
68,1,3,1,10,1,50,1,0,true
69,1,3,1,13,1,50,1,0,true
70,1,3,1,12,1,50,1,0,true
71,1,3,1,10,1,50,1,0,true
72,1,3,1,10,1,50,1,0,true
73,1,3,1,11,1,50,1,0,true
74,1,3,1,12,1,50,1,0,true
75,1,3,1,11,1,50,1,0,true
76,1,3,1,11,1,50,1,0,true
77,1,3,1,9,1,50,1,0,true
78,1,3,1,13,1,50,1,0,true
79,1,3,1,11,1,50,1,0,true
80,1,3,1,12,1,50,1,0,true
81,1,3,1,10,1,50,1,0,true
82,1,3,1,11,1,50,1,0,true
83,1,3,1,12,1,50,1,0,true
84,1,3,1,12,1,50,1,0,true
85,1,3,1,12,1,50,1,0,true
86,1,3,1,11,1,50,1,0,true
87,1,3,1,11,1,50,1,0,true
88,1,3,1,10,1,50,1,0,true
89,1,3,1,10,1,50,1,0,true
90,1,3,1,11,1,50,1,0,true
91,1,3,1,10,1,50,1,0,true
92,1,3,1,13,1,50,1,0,true
93,1,3,1,12,1,50,1,0,true
94,1,3,1,12,1,50,1,0,true
95,1,3,1,11,1,50,1,0,true
96,1,3,1,12,1,50,1,0,true
97,1,3,1,11,1,50,1,0,true
98,1,3,1,12,1,50,1,0,true
99,1,3,1,10,1,50,1,0,true
100,1,3,1,11,1,50,1,0,true
101,1,3,1,11,1,50,1,0,true
102,1,3,1,11,1,50,1,0,true
103,1,3,1,12,1,50,1,0,true
