Window,Num threads,Num Variables,Num locks,Num unique good writes,Max stack size,Max seen size,Num mmaps,Time taken (sec),Window result
0,1,10,0,0,1,10,1,0,true
1,1,10,0,0,1,10,1,0,true
2,1,10,0,0,1,10,1,0,true
3,1,10,0,0,1,10,1,0,true
4,1,10,0,0,1,10,1,0,true
5,1,10,0,0,1,10,1,0,true
6,2,7,1,1,9,117,7,0.004,true
7,1,1,1,2,1,10,7,0.002,true
8,1,2,1,2,1,10,7,0.003,true
9,1,2,1,4,1,10,7,0.003,true
10,1,2,1,2,1,10,7,0.002,true
11,1,3,1,2,1,10,7,0.002,true
12,1,2,2,2,1,10,7,0.002,true
13,1,1,3,1,1,10,7,0.003,true
14,1,3,2,3,1,10,7,0.003,true
15,1,2,3,2,1,10,7,0.002,true
16,1,0,2,0,1,10,7,0.002,true
17,1,2,2,2,1,10,7,0.002,true
18,1,3,2,3,1,10,7,0.002,true
19,1,1,2,0,1,10,7,0.003,true
20,1,2,2,2,1,10,7,0.002,true
21,1,0,3,0,1,10,7,0.002,true
22,1,0,2,0,1,10,7,0.003,true
23,1,0,3,0,1,10,7,0.002,true
24,1,0,3,0,1,10,7,0.003,true
25,1,0,3,0,1,10,7,0.003,true
26,1,0,3,0,1,10,7,0.002,true
27,1,0,3,0,1,10,7,0.002,true
28,1,0,3,0,1,10,7,0.003,true
29,1,0,3,0,1,10,7,0.002,true
30,1,0,3,0,1,10,7,0.003,true
31,1,0,3,0,1,10,7,0.003,true
32,1,0,2,0,1,10,7,0.002,true
33,1,0,3,0,1,10,7,0.002,true
34,1,0,3,0,1,10,7,0.003,true
35,1,0,3,0,1,10,7,0.003,true
36,1,0,3,0,1,10,7,0.003,true
37,1,0,3,0,1,10,7,0.002,true
38,1,2,2,0,1,10,7,0.002,true
39,1,3,3,3,1,10,7,0.003,true
40,1,2,2,1,1,10,7,0.003,true
41,1,2,1,3,1,10,7,0.003,true
42,1,2,1,2,1,10,7,0.002,true
43,1,2,1,3,1,10,7,0.002,true
44,1,1,3,1,1,10,7,0.002,true
45,1,1,3,0,1,10,7,0.002,true
46,1,3,2,2,1,10,7,0.003,true
47,1,1,3,0,1,10,7,0.003,true
48,1,2,1,4,1,10,7,0.002,true
49,1,2,1,2,1,10,7,0.003,true
50,1,2,1,3,1,10,7,0.002,true
51,1,1,2,1,1,10,7,0.003,true
52,1,0,1,0,1,10,7,0.003,true
53,1,0,4,0,1,10,7,0.002,true
54,1,0,3,0,1,10,7,0.002,true
55,1,0,3,0,1,10,7,0.003,true
56,1,0,3,0,1,10,7,0.003,true
57,1,0,2,0,1,10,7,0.002,true
58,1,0,2,0,1,10,7,0.003,true
59,1,1,3,1,1,10,7,0.002,true
60,1,1,2,2,1,10,7,0.002,true
61,1,1,2,1,1,10,7,0.003,true
62,1,1,3,1,1,10,7,0.003,true
63,1,0,2,0,1,10,7,0.002,true
64,1,1,2,1,1,10,7,0.003,true
65,1,1,2,1,1,10,7,0.003,true
66,1,2,3,1,1,10,7,0.002,true
67,1,0,3,0,1,10,7,0.003,true
68,1,1,4,1,1,10,7,0.003,true
69,1,1,2,1,1,10,7,0.003,true
70,1,1,3,1,1,10,7,0.002,true
71,1,0,2,0,1,10,7,0.003,true
72,1,1,3,1,1,10,7,0.002,true
73,1,1,1,0,1,10,7,0.003,true
74,1,0,3,0,1,10,7,0.003,true
75,1,2,3,2,1,10,7,0.002,true
76,1,2,2,0,1,10,7,0.003,true
77,1,1,3,0,1,10,7,0.003,true
78,1,1,4,1,1,10,7,0.003,true
79,1,2,3,1,1,10,7,0.003,true
80,1,2,2,0,1,10,7,0.003,true
81,1,1,3,1,1,10,7,0.003,true
82,1,2,3,1,1,10,7,0.003,true
83,1,1,2,0,1,10,7,0.003,true
84,1,0,4,0,1,10,7,0.003,true
85,1,1,5,1,1,10,7,0.003,true
86,1,3,2,1,1,10,7,0.003,true
87,1,0,3,0,1,10,7,0.003,true
88,1,1,4,0,1,10,7,0.003,true
89,1,2,4,2,1,10,7,0.003,true
90,1,2,1,0,1,10,7,0.003,true
91,1,1,3,0,1,10,7,0.003,true
92,1,0,4,0,1,10,7,0.003,true
93,1,2,3,2,1,10,7,0.004,true
94,1,2,2,0,1,10,7,0.003,true
95,1,1,3,0,1,10,7,0.003,true
96,1,2,3,2,1,10,7,0.003,true
97,1,2,2,0,1,10,7,0.003,true
98,1,1,3,0,1,10,7,0.003,true
99,1,2,3,2,1,10,7,0.003,true
100,1,2,2,0,1,10,7,0.003,true
101,1,1,3,0,1,10,7,0.003,true
102,1,2,3,2,1,10,7,0.004,true
103,1,2,2,0,1,10,7,0.003,true
104,1,1,3,0,1,10,7,0.003,true
105,1,2,3,2,1,10,7,0.003,true
106,1,0,2,0,1,10,7,0.004,true
107,1,1,3,1,1,10,7,0.003,true
108,1,0,2,0,1,10,7,0.003,true
109,1,1,3,1,1,10,7,0.003,true
110,1,0,2,0,1,10,7,0.003,true
111,1,1,2,1,1,10,7,0.003,true
112,1,0,2,0,1,10,7,0.003,true
113,1,1,2,1,1,10,7,0.003,true
114,1,0,2,0,1,10,7,0.003,true
115,1,1,2,1,1,10,7,0.004,true
116,1,0,3,0,1,10,7,0.003,true
117,1,3,2,1,1,10,7,0.003,true
118,1,0,3,0,1,10,7,0.003,true
119,1,1,4,0,1,10,7,0.004,true
120,1,2,4,2,1,10,7,0.003,true
121,1,1,2,0,1,10,7,0.003,true
122,1,0,3,0,1,10,7,0.003,true
123,1,1,4,1,1,10,7,0.003,true
124,1,2,3,1,1,10,7,0.004,true
125,1,1,2,0,1,10,7,0.003,true
126,1,0,4,0,1,10,7,0.003,true
127,1,1,5,1,1,10,7,0.003,true
128,1,1,2,1,1,10,7,0.004,true
129,1,1,3,1,1,10,7,0.003,true
130,1,0,2,0,1,10,7,0.003,true
131,1,1,3,1,1,10,7,0.003,true
132,1,0,1,0,1,10,7,0.004,true
133,1,1,3,1,1,10,7,0.004,true
134,1,0,2,0,1,10,7,0.003,true
135,1,1,3,1,1,10,7,0.004,true
136,1,2,2,0,1,10,7,0.004,true
137,1,1,3,0,1,10,7,0.004,true
138,1,1,4,1,1,10,7,0.006,true
139,1,2,3,1,1,10,7,0.004,true
140,1,1,2,0,1,10,7,0.004,true
141,1,0,4,0,1,10,7,0.003,true
142,1,1,5,1,1,10,7,0.003,true
143,1,1,2,1,1,10,7,0.003,true
144,1,1,3,1,1,10,7,0.004,true
145,1,0,2,0,1,10,7,0.003,true
146,1,1,3,1,1,10,7,0.004,true
147,1,0,1,0,1,10,7,0.003,true
148,1,1,3,1,1,10,7,0.004,true
149,1,0,2,0,1,10,7,0.003,true
150,1,1,3,1,1,10,7,0.003,true
151,1,0,2,0,1,10,7,0.003,true
152,1,1,3,1,1,10,7,0.004,true
153,1,0,2,0,1,10,7,0.004,true
154,1,1,3,1,1,10,7,0.004,true
155,1,0,2,0,1,10,7,0.003,true
156,1,1,2,1,1,10,7,0.004,true
157,1,0,2,0,1,10,7,0.003,true
158,1,1,2,1,1,10,7,0.003,true
159,1,0,2,0,1,10,7,0.003,true
160,1,1,2,1,1,10,7,0.004,true
161,1,0,3,0,1,10,7,0.003,true
162,1,1,2,1,1,10,7,0.003,true
163,1,1,3,1,1,10,7,0.004,true
164,1,0,2,0,1,10,7,0.004,true
165,1,1,3,1,1,10,7,0.004,true
166,1,0,1,0,1,10,7,0.004,true
167,1,1,3,1,1,10,7,0.004,true
168,1,0,2,0,1,10,7,0.004,true
169,1,1,3,1,1,10,7,0.004,true
170,1,0,2,0,1,10,7,0.004,true
171,1,1,3,1,1,10,7,0.004,true
172,1,0,2,0,1,10,7,0.004,true
173,1,1,3,1,1,10,7,0.004,true
174,1,0,2,0,1,10,7,0.003,true
175,1,1,2,1,1,10,7,0.003,true
