Window,Num threads,Num locks,Num unique good writes,Max stack size,Max seen size,Num mmaps,Time taken (sec),Window result
0,1,20,0,0,1,20,1,0,true
1,1,20,0,0,1,20,1,0,true
2,1,20,0,0,1,20,1,0,true
3,2,7,1,3,12,547,7,0.022,true
4,1,2,1,6,1,20,7,0.006,true
5,1,3,1,4,1,20,7,0.005,true
6,1,3,3,3,1,20,7,0.005,true
7,1,3,3,4,1,20,7,0.005,true
8,1,2,3,2,1,20,7,0.005,true
9,1,3,3,3,1,20,7,0.005,true
10,1,2,3,2,1,20,7,0.005,true
11,1,0,3,0,1,20,7,0.005,true
12,1,0,3,0,1,20,7,0.005,true
13,1,0,3,0,1,20,7,0.005,true
14,1,0,3,0,1,20,7,0.004,true
15,1,0,3,0,1,20,7,0.005,true
16,1,0,3,0,1,20,7,0.005,true
17,1,0,3,0,1,20,7,0.005,true
18,1,0,3,0,1,20,7,0.005,true
19,1,3,4,3,1,20,7,0.005,true
20,1,2,2,4,1,20,7,0.005,true
21,1,2,1,5,1,20,7,0.005,true
22,1,2,3,1,1,20,7,0.005,true
23,1,3,3,2,1,20,7,0.005,true
24,1,2,1,6,1,20,7,0.005,true
25,1,2,2,4,1,20,7,0.005,true
26,1,0,4,0,1,20,7,0.004,true
27,1,0,3,0,1,20,7,0.005,true
28,1,0,3,0,1,20,7,0.005,true
29,1,1,4,1,1,20,7,0.005,true
30,1,1,2,3,1,20,7,0.005,true
31,1,1,4,1,1,20,7,0.004,true
32,1,1,2,2,1,20,7,0.005,true
33,1,2,5,1,1,20,7,0.005,true
34,1,2,4,2,1,20,7,0.005,true
35,1,1,3,1,1,20,7,0.005,true
36,1,2,3,1,1,20,7,0.005,true
37,1,2,4,2,1,20,7,0.005,true
38,1,2,3,0,1,20,7,0.005,true
39,1,2,5,2,1,20,7,0.005,true
40,1,2,3,1,1,20,7,0.005,true
41,1,3,4,1,1,20,7,0.005,true
42,1,1,5,1,1,20,7,0.005,true
43,1,3,4,1,1,20,7,0.005,true
44,1,3,5,2,1,20,7,0.005,true
45,1,2,3,0,1,20,7,0.005,true
46,1,2,5,2,1,20,7,0.006,true
47,1,2,3,0,1,20,7,0.006,true
48,1,4,4,2,1,20,7,0.006,true
49,1,3,4,2,1,20,7,0.005,true
50,1,2,3,0,1,20,7,0.006,true
51,1,4,4,2,1,20,7,0.006,true
52,1,3,4,2,1,20,7,0.007,true
53,1,1,3,1,1,20,7,0.006,true
54,1,1,3,1,1,20,7,0.006,true
55,1,1,3,1,1,20,7,0.006,true
56,1,1,3,1,1,20,7,0.005,true
57,1,1,3,1,1,20,7,0.006,true
58,1,3,3,1,1,20,7,0.006,true
59,1,1,4,0,1,20,7,0.006,true
60,1,3,5,2,1,20,7,0.006,true
61,1,1,4,1,1,20,7,0.006,true
62,1,3,4,1,1,20,7,0.007,true
63,1,1,5,1,1,20,7,0.006,true
64,1,1,3,1,1,20,7,0.006,true
65,1,1,3,1,1,20,7,0.006,true
66,1,1,3,1,1,20,7,0.006,true
67,1,1,3,1,1,20,7,0.006,true
68,1,2,3,0,1,20,7,0.006,true
69,1,2,5,2,1,20,7,0.006,true
70,1,1,4,0,1,20,7,0.007,true
71,1,2,5,2,1,20,7,0.006,true
72,1,1,3,1,1,20,7,0.007,true
73,1,1,3,1,1,20,7,0.007,true
74,1,1,3,1,1,20,7,0.006,true
75,1,1,3,1,1,20,7,0.007,true
76,1,1,3,1,1,20,7,0.006,true
77,1,1,3,1,1,20,7,0.006,true
78,1,1,3,1,1,20,7,0.006,true
79,1,1,3,1,1,20,7,0.007,true
80,1,1,3,1,1,20,7,0.006,true
81,1,1,3,1,1,20,7,0.007,true
82,1,1,3,1,1,20,7,0.007,true
83,1,1,3,1,1,20,7,0.006,true
84,1,1,3,1,1,20,7,0.007,true
85,1,1,3,1,1,20,7,0.007,true
86,1,1,3,1,1,20,7,0.006,true
87,1,1,3,1,1,20,7,0.006,true
88,1,1,3,1,1,20,7,0.006,true
89,1,1,3,1,1,20,7,0.007,true
90,1,1,3,1,1,20,7,0.008,true
91,1,1,3,1,1,20,7,0.007,true
92,1,1,3,1,1,20,7,0.006,true
93,1,1,3,1,1,20,7,0.007,true
94,1,1,3,1,1,20,7,0.007,true
95,1,1,3,1,1,20,7,0.007,true
96,1,1,3,1,1,20,7,0.008,true
97,1,1,3,1,1,20,7,0.007,true
98,1,1,3,1,1,20,7,0.007,true
99,1,1,3,1,1,20,7,0.007,true
100,1,1,2,2,1,20,7,0.007,true
101,1,1,3,1,1,20,7,0.007,true
102,1,2,4,3,1,20,7,0.007,true
103,1,1,2,1,1,20,7,0.007,true
104,1,2,3,2,1,20,7,0.007,true
105,1,3,3,4,1,20,7,0.007,true
106,1,2,4,2,1,20,7,0.007,true
107,1,2,3,3,1,20,7,0.007,true
108,1,5,5,3,1,20,7,0.007,true
109,1,4,3,3,1,20,7,0.007,true
110,1,2,5,2,1,20,7,0.006,true
111,1,5,6,4,1,20,7,0.007,true
112,1,4,4,1,1,20,7,0.007,true
113,1,4,4,3,1,20,7,0.007,true
114,1,2,3,3,1,20,7,0.007,true
115,1,6,6,4,1,20,7,0.007,true
116,1,4,4,1,1,20,7,0.007,true
117,1,3,5,2,1,20,7,0.007,true
118,1,2,5,3,1,20,7,0.007,true
119,1,5,5,4,1,20,7,0.007,true
120,1,5,3,2,1,20,7,0.007,true
121,1,3,6,2,1,20,7,0.008,true
122,1,3,5,3,1,20,7,0.007,true
123,1,4,5,3,1,20,7,0.007,true
124,1,5,3,2,1,20,7,0.007,true
125,1,3,5,2,1,20,7,0.008,true
126,1,4,6,4,1,20,7,0.007,true
127,1,4,4,2,1,20,7,0.007,true
128,1,2,4,2,1,20,7,0.007,true
129,1,2,3,2,1,20,7,0.008,true
130,1,5,6,4,1,20,7,0.007,true
131,1,4,4,2,1,20,7,0.008,true
132,1,4,5,2,1,20,7,0.007,true
133,1,2,3,3,1,20,7,0.007,true
134,1,5,6,4,1,20,7,0.007,true
135,1,4,4,1,1,20,7,0.008,true
136,1,3,5,2,1,20,7,0.007,true
137,1,2,4,3,1,20,7,0.008,true
138,1,5,5,4,1,20,7,0.008,true
139,1,5,4,2,1,20,7,0.008,true
140,1,3,5,2,1,20,7,0.008,true
141,1,3,5,3,1,20,7,0.008,true
142,1,5,6,4,1,20,7,0.008,true
143,1,3,3,3,1,20,7,0.008,true
144,1,5,6,4,1,20,7,0.008,true
145,1,4,6,3,1,20,7,0.008,true
146,1,2,5,3,1,20,7,0.008,true
147,1,5,5,4,1,20,7,0.008,true
148,1,4,3,3,1,20,7,0.008,true
149,1,4,6,4,1,20,7,0.008,true
150,1,6,5,4,1,20,7,0.008,true
151,1,2,3,3,1,20,7,0.008,true
152,1,5,6,4,1,20,7,0.008,true
