Window,Num threads,Num Variables,Num locks,Num unique good writes,Num mmaps,Max stack size,Max seen size,Time taken (sec),Window result
0,1,10,0,0,1,1,10,0,true
1,1,10,0,0,1,1,10,0,true
2,1,10,0,0,1,1,10,0,true
3,1,10,0,0,1,1,10,0,true
4,1,10,0,0,1,1,10,0,true
5,1,10,0,0,1,1,10,0,true
6,1,10,0,0,1,1,10,0,true
7,1,10,0,0,1,1,10,0,true
8,1,10,0,0,1,1,10,0,true
9,2,3,2,1,1,4,33,0.001,true
10,1,0,1,0,1,1,10,0,true
11,1,1,2,2,1,1,10,0,true
12,1,0,1,0,1,1,10,0,true
13,1,1,2,1,1,1,10,0,true
14,1,1,2,1,1,1,10,0.001,true
15,1,0,1,0,1,1,10,0,true
16,1,1,2,2,1,1,10,0,true
17,1,0,1,0,1,1,10,0,true
18,1,1,2,2,1,1,10,0,true
19,1,0,1,0,1,1,10,0,true
20,1,1,3,1,1,1,10,0,true
21,1,2,5,0,1,1,10,0,true
22,1,2,3,1,1,1,10,0,true
23,1,0,1,0,1,1,10,0,true
24,1,1,2,2,1,1,10,0,true
25,1,0,1,0,1,1,10,0,true
26,1,1,2,2,1,1,10,0,true
27,1,0,1,0,1,1,10,0,true
28,1,1,2,2,1,1,10,0,true
29,1,1,1,1,1,1,10,0,true
30,1,1,2,1,1,1,10,0,true
31,1,1,1,1,1,1,10,0,true
32,1,1,2,1,1,1,10,0,true
33,1,1,2,1,1,1,10,0,true
34,1,1,2,1,1,1,10,0,true
35,1,1,2,1,1,1,10,0,true
36,1,1,1,1,1,1,10,0,true
37,1,1,2,2,1,1,10,0,true
38,1,0,1,0,1,1,10,0,true
39,1,1,2,2,1,1,10,0,true
40,1,1,2,1,1,1,10,0,true
41,1,1,2,1,1,1,10,0,true
42,1,1,1,1,1,1,10,0,true
43,1,1,2,2,1,1,10,0,true
44,1,0,1,0,1,1,10,0,true
45,1,1,2,2,1,1,10,0,true
46,1,0,1,0,1,1,10,0,true
47,1,1,2,2,1,1,10,0,true
48,1,0,1,0,1,1,10,0,true
49,1,1,2,2,1,1,10,0,true
50,1,0,1,0,1,1,10,0,true
51,1,1,2,2,1,1,10,0,true
52,1,0,1,0,1,1,10,0,true
53,1,1,2,2,1,1,10,0,true
54,1,1,1,1,1,1,10,0,true
55,1,1,2,1,1,1,10,0,true
56,1,1,1,1,1,1,10,0,true
57,1,1,2,1,1,1,10,0,true
58,1,1,2,1,1,1,10,0,true
59,1,1,2,1,1,1,10,0,true
60,1,1,2,1,1,1,10,0,true
61,1,1,1,1,1,1,10,0,true
62,1,1,2,2,1,1,10,0,true
63,1,0,1,0,1,1,10,0,true
64,1,1,2,2,1,1,10,0,true
65,1,0,1,0,1,1,10,0,true
66,1,1,2,2,1,1,10,0,true
67,1,0,1,0,1,1,10,0,true
68,1,1,2,2,1,1,10,0,true
69,1,0,1,0,1,1,10,0,true
70,1,1,2,2,1,1,10,0,true
71,1,0,1,0,1,1,10,0,true
72,1,1,2,2,1,1,10,0,true
73,1,1,1,1,1,1,10,0,true
74,1,1,2,1,1,1,10,0,true
75,1,1,1,1,1,1,10,0,true
76,1,1,2,1,1,1,10,0,true
77,1,1,2,1,1,1,10,0,true
78,1,1,2,1,1,1,10,0,true
79,1,1,2,1,1,1,10,0,true
80,1,1,1,1,1,1,10,0,true
81,1,1,2,2,1,1,10,0,true
82,1,0,1,0,1,1,10,0,true
83,1,1,2,2,1,1,10,0,true
84,1,1,1,1,1,1,10,0,true
85,1,1,2,1,1,1,10,0,true
86,1,0,1,0,1,1,10,0,true
