Window,Num prev traces,Nodes explored,Time taken (sec),Window result
0,4979,99,0.039,true
1,368600,199,3.105,true
2,737300,299,6.622,true
3,1106000,399,10.261999999999999,true
4,1474700,499,13.609000000000002,true
5,1843400,599,16.893,true
6,2212100,699,22.373000000000005,true
7,2580800,799,24.917999999999992,true
8,2949500,899,27.575000000000003,true
9,3318200,999,32.522000000000006,true
10,3686900,1099,34.599999999999994,true
11,4055600,1199,38.244,true
12,4424300,1299,43.019000000000005,true
13,4793000,1399,45.64999999999998,true
14,5161700,1499,48.709,true
15,5530406,1601,52.95300000000003,true
16,5662687,1503,53.89499999999998,true
17,5294189,1403,51.31699999999995,true
18,4925489,1303,72.20000000000005,true
19,4556789,1203,58.44399999999996,true
20,4188089,1103,42.51200000000006,true
21,3819389,1003,35.71899999999994,true
22,3450689,903,33.430000000000064,true
23,3081989,803,28.985000000000014,true
24,2713289,703,26.06899999999996,true
25,2344589,603,22.240999999999985,true
26,1975889,503,18.95900000000006,true
27,1607189,403,15.060999999999922,true
28,1238489,303,11.315000000000055,true
29,869789,203,9.162000000000035,true
30,501089,103,4.541999999999916,true
31,129974,0,1.1240000000000236,false
