Window,Num threads,Num Variables,Num locks,Num unique good writes,Max stack size,Max seen size,Num mmaps,Time taken (sec),Window result
0,2,1,1,2,38,2525,2,0.016,true
1,2,1,1,2,37,2407,2,0.015,true
2,2,1,1,2,38,2525,2,0.03,true
3,2,1,1,2,37,2407,2,0.014,true
4,2,1,1,2,38,2525,2,0.031,true
5,2,1,1,2,37,2407,2,0.014,true
6,2,1,1,2,38,2525,2,0.029,true
7,2,1,1,2,37,2407,2,0.015,true
8,2,1,1,2,38,2525,2,0.028,true
9,2,1,1,2,37,2407,2,0.014,true
10,2,1,1,2,38,2525,2,0.028,true
11,2,1,1,2,37,2407,2,0.015,true
12,2,1,1,2,38,2525,2,0.028,true
13,2,1,1,2,37,2407,2,0.015,true
14,2,1,1,2,38,2525,2,0.029,true
15,2,1,1,2,37,2407,2,0.014,true
16,2,1,1,2,38,2525,2,0.029,true
17,2,1,1,2,37,2407,2,0.014,true
18,2,1,1,2,38,2525,2,0.028,true
19,2,1,1,2,37,2407,2,0.014,true
20,2,1,1,2,38,2525,2,0.03,true
21,2,1,1,2,37,2407,2,0.014,true
22,2,1,1,2,38,2525,2,0.029,true
23,2,1,1,2,37,2407,2,0.014,true
24,2,1,1,2,38,2525,2,0.029,true
25,2,1,1,2,37,2407,2,0.014,true
26,2,1,1,2,38,2525,2,0.034,true
27,2,1,1,2,37,2407,2,0.016,true
28,2,1,1,2,38,2525,2,0.034,true
29,2,1,1,2,37,2407,2,0.015,true
30,2,1,1,2,38,2525,2,0.03,true
31,2,1,1,2,36,2353,0,0.015,false
