Window,Nodes explored,Num prev traces,Time taken (sec),Window result
0,4979,99,0.035,true
1,15075,199,0.136,true
2,25175,299,0.226,true
3,35275,399,0.326,true
4,45375,499,0.426,true
5,55475,599,0.502,true
6,65575,699,0.626,true
7,75675,799,0.723,true
8,85775,899,0.847,true
9,95875,999,0.966,true
10,105975,1099,1.175,true
11,116075,1199,1.27,true
12,126175,1299,1.341,true
13,136275,1399,1.768,true
14,146375,1499,1.495,true
15,156481,1601,1.754,true
16,156852,1503,1.592,true
17,146754,1403,1.455,true
18,136654,1303,1.407,true
19,126554,1203,1.218,true
20,116454,1103,1.157,true
21,106354,1003,1.136,true
22,96254,903,0.905,true
23,86154,803,0.811,true
24,76054,703,0.704,true
25,65954,603,0.606,true
26,55854,503,0.568,true
27,45754,403,0.459,true
28,35654,303,0.347,true
29,25554,203,0.236,true
30,15454,103,0.142,true
31,5321,0,0.048,false
