Window,Num threads,Num locks,Num unique good writes,Max stack size,Max seen size,Num mmaps,Time taken (sec),Window result
0,2,3,2,0,4,56,3,0,true
1,1,0,2,0,1,10,3,0,true
2,1,0,2,0,1,10,3,0,true
3,1,0,2,0,1,10,3,0,true
4,1,0,2,0,1,10,3,0,true
5,1,0,2,0,1,10,3,0,true
6,1,0,2,0,1,10,3,0,true
7,1,1,3,0,1,10,3,0,true
8,1,0,2,0,1,10,3,0,true
9,1,3,2,1,1,10,3,0,true
10,2,4,2,2,5,34,3,0.001,true
11,2,2,4,0,2,19,3,0,true
12,1,0,2,0,1,10,3,0,true
13,1,0,2,0,1,10,3,0,true
14,1,1,3,0,1,10,3,0,true
15,1,0,2,0,1,10,3,0,true
16,1,0,2,0,1,10,3,0,true
17,1,0,2,0,1,10,3,0,true
18,1,1,3,0,1,10,3,0,true
19,1,0,2,0,1,10,3,0,true
20,1,0,2,0,1,10,3,0,true
21,1,1,4,1,1,10,3,0,true
22,1,1,2,1,1,10,3,0,true
23,1,1,3,1,1,10,3,0,true
24,1,2,2,2,1,10,3,0,true
25,1,2,2,1,1,10,3,0,true
26,1,1,2,2,1,10,3,0,true
27,1,1,2,2,1,10,3,0,true
28,1,1,2,1,1,10,3,0,true
29,1,1,2,1,1,10,3,0,true
30,1,1,3,1,1,10,3,0,true
31,1,2,2,2,1,10,3,0,true
32,1,2,2,2,1,10,3,0,true
33,1,1,2,2,1,10,3,0,true
34,1,1,2,1,1,10,3,0,true
35,1,1,2,1,1,10,3,0,true
36,1,1,2,2,1,10,3,0,true
37,1,1,4,1,1,10,3,0,true
38,1,0,2,0,1,10,3,0,true
39,1,0,2,0,1,10,3,0,true
40,1,0,2,0,1,10,3,0,true
41,1,0,5,0,1,10,3,0,true
42,1,3,2,3,1,10,3,0,true
43,1,0,6,0,1,10,3,0,true
44,1,0,2,0,1,10,3,0,true
45,1,0,2,0,1,10,3,0,true
46,1,0,2,0,1,10,3,0,true
47,1,0,2,0,1,10,3,0,true
48,1,0,2,0,1,10,3,0,true
49,1,0,2,0,1,10,3,0,true
50,1,0,2,0,1,10,3,0,true
51,1,0,2,0,1,10,3,0,true
52,1,0,2,0,1,10,3,0,true
53,1,0,2,0,1,10,3,0,true
54,1,0,2,0,1,10,3,0,true
55,1,0,2,0,1,10,3,0,true
56,1,0,2,0,1,10,3,0,true
57,1,0,2,0,1,10,3,0,true
58,1,0,2,0,1,10,3,0,true
59,1,0,2,0,1,10,3,0,true
60,1,0,2,0,1,10,3,0,true
61,1,0,2,0,1,10,3,0,true
62,1,0,2,0,1,10,3,0,true
63,1,0,2,0,1,10,3,0,true
64,1,0,2,0,1,10,3,0,true
65,1,0,2,0,1,10,3,0,true
66,1,0,2,0,1,10,3,0,true
67,1,0,2,0,1,10,3,0,true
68,1,0,2,0,1,10,3,0,true
69,1,1,2,0,1,10,3,0,true
70,1,0,2,0,1,10,3,0,true
71,1,0,2,0,1,10,3,0,true
72,1,0,3,0,1,10,3,0,true
73,1,0,1,0,1,10,3,0,true
74,1,0,2,0,1,10,3,0,true
75,1,2,3,1,1,10,3,0,true
76,1,2,3,1,1,10,3,0,true
77,1,2,1,2,1,10,3,0,true
78,1,0,3,0,1,10,3,0,true
79,1,1,2,0,1,10,3,0,true
80,1,1,3,1,1,10,3,0,true
81,1,2,2,2,1,10,3,0,true
82,1,1,4,0,1,10,3,0,true
83,1,0,2,0,1,10,3,0,true
84,1,0,2,0,1,10,3,0,true
85,1,0,2,0,1,10,3,0,true
86,1,0,2,0,1,10,3,0,true
87,1,0,2,0,1,10,3,0,true
88,1,0,2,0,1,10,3,0,true
89,1,0,2,0,1,10,3,0,true
90,1,0,2,0,1,10,3,0,true
91,1,0,2,0,1,10,3,0,true
92,1,0,2,0,1,10,3,0,true
93,1,0,2,0,1,10,3,0,true
94,1,0,2,0,1,10,3,0,true
95,1,0,2,0,1,10,3,0,true
96,2,0,4,0,9,49,3,0.003,true
97,1,10,0,0,1,10,3,0,true
98,1,10,0,0,1,10,3,0,true
99,2,3,3,1,4,33,3,0.003,true
100,1,1,4,2,1,10,3,0.001,true
101,2,3,3,2,4,24,3,0.003,true
102,1,1,2,1,1,10,3,0,true
103,1,0,1,0,1,10,3,0,true
104,1,0,1,0,1,10,3,0,true
105,1,0,1,0,1,10,3,0,true
106,1,0,1,0,1,10,3,0,true
107,1,0,1,0,1,10,3,0,true
108,1,0,1,0,1,10,3,0.001,true
109,1,0,1,0,1,10,3,0,true
110,1,0,1,0,1,10,3,0,true
111,1,0,1,0,1,10,3,0,true
