Window,Num threads,Num Variables,Num locks,Num unique good writes,Estimate Cost,Estimate Time Taken,Num mmaps,Max stack size,Max seen size,Node explored,Node seen before,Time taken (sec),Window result
0,2,3,2,0,51,0.199,1,4,336,337,187,0.202,true
1,1,4,5,1,153,0.142,3,1,50,153,0,0.143,true
2,2,7,6,2,153,0.161,3,7,397,1194,288,0.178,true
3,1,1,3,0,306,0.164,6,1,50,306,0,0.167,true
4,1,2,5,5,306,0.168,6,1,50,306,0,0.172,true
5,1,2,2,6,306,0.167,6,1,50,306,0,0.171,true
6,1,2,3,7,306,0.167,6,1,50,306,0,0.171,true
7,1,1,5,3,306,0.167,6,1,50,306,0,0.17,true
8,1,3,9,3,306,0.172,6,1,50,306,0,0.176,true
9,1,0,2,0,306,0.173,6,1,50,306,0,0.177,true
10,1,0,2,0,306,0.184,6,1,50,306,0,0.188,true
11,1,0,2,0,306,0.175,6,1,50,306,0,0.179,true
12,1,0,2,0,306,0.174,6,1,50,306,0,0.178,true
13,1,1,2,0,306,0.176,6,1,50,306,0,0.18,true
14,1,0,4,0,306,0.186,6,1,50,306,0,0.19,true
15,1,3,5,4,306,0.194,6,1,50,306,0,0.198,true
16,1,3,8,3,306,0.19,6,1,50,306,0,0.195,true
17,1,0,2,0,306,0.238,6,1,50,306,0,0.242,true
18,1,0,2,0,306,0.193,6,1,50,306,0,0.197,true
19,3,23,7,1,904.62,0.206,6,32,6007,36048,11035,1.297,true
20,2,4,5,5,72,0.061,6,12,372,2238,309,0.125,true
21,1,0,1,0,306,0.224,6,1,50,306,0,0.23,true
22,1,6,8,6,306,0.236,6,1,50,306,0,0.242,true
23,2,5,7,6,81.9,0.106,6,15,368,2214,297,0.174,true
24,2,3,7,3,339,0.258,6,9,409,2460,347,0.329,true
25,1,4,10,6,306,0.24,6,1,50,306,0,0.248,true
26,1,4,10,6,306,0.24,6,1,50,306,0,0.248,true
27,1,4,11,4,306,0.237,6,1,50,306,0,0.244,true
28,2,8,17,7,973.92,0.258,6,27,963,5784,913,0.441,true
29,4,3,10,3,2185.68,0.253,6,65,56225,337356,153948,19.66,true
30,2,6,12,5,1194.36,0.256,6,33,1089,6540,1039,0.477,true
31,1,1,2,0,306,0.25,6,1,50,306,0,0.259,true
32,1,4,7,2,306,0.248,6,1,50,306,0,0.257,true
33,1,6,9,8,306,0.247,6,1,50,306,0,0.255,true
34,2,4,9,6,309.96,0.247,6,2,83,504,33,0.262,true
35,2,6,12,5,1441.2,0.252,6,36,1153,6924,1103,0.477,true
36,2,6,13,6,1636.56,0.254,6,42,1219,7320,1169,0.499,true
37,1,5,8,7,306,0.253,6,1,50,306,0,0.262,true
38,1,6,12,7,306,0.255,6,1,50,306,0,0.264,true
39,1,5,9,7,306,0.25,6,1,50,306,0,0.258,true
40,1,4,11,5,306,0.249,6,1,50,306,0,0.257,true
41,1,4,7,6,306,0.246,6,1,50,306,0,0.254,true
42,1,9,10,6,306,0.247,6,1,50,306,0,0.255,true
43,2,4,8,7,306,0.255,6,2,99,600,49,0.274,true
44,2,9,9,7,245.58,0.21,6,9,317,1908,260,0.275,true
45,1,8,9,9,306,0.248,6,1,50,306,0,0.257,true
46,3,8,8,7,2184,0.221,6,71,12765,76596,22734,3.842,true
47,3,7,11,8,321.84,0.255,6,11,812,4878,1242,0.451,true
48,3,6,13,8,797.64,0.2,6,42,1510,9066,2132,0.567,true
49,2,4,8,7,151.56,0.082,6,11,244,1470,187,0.135,true
50,2,5,9,6,826.08,0.201,6,26,448,2694,368,0.295,true
51,3,8,10,7,349.98,0.187,6,52,6258,37554,10581,1.868,true
52,2,7,8,7,1017.48,0.256,6,28,870,5226,809,0.434,true
53,3,9,7,9,841.56,0.217,6,43,4312,25878,6201,1.329,true
54,3,9,5,12,484.2,0.148,6,35,5690,34146,9627,1.753,true
55,3,4,8,5,319.2,0.264,6,12,599,3600,759,0.406,true
56,3,9,8,9,509.28,0.262,6,7,501,3012,660,0.381,true
57,1,4,7,7,306,0.259,6,1,50,306,0,0.269,true
58,3,8,10,8,395.1,0.268,6,6,540,3246,732,0.412,true
59,1,7,10,7,306,0.271,6,1,50,306,0,0.281,true
60,3,5,5,5,787.98,0.272,6,31,2833,17004,3851,1.008,true
61,2,21,3,10,321.84,0.263,6,5,187,1128,135,0.304,true
62,2,19,5,7,1137.6,0.27,6,30,1048,6294,996,0.516,true
63,1,8,4,7,144,0.126,6,1,23,144,0,0.13,true
