Window,Num threads,Num Variables,Num locks,Num unique good writes,Num mmaps,Max stack size,Max seen size,Time taken (sec),Window result
0,2,3,2,0,1,4,476,0.003,true
1,2,8,7,3,3,7,616,0.021,true
2,1,2,4,0,18,1,70,0.012,true
3,1,2,5,9,18,1,70,0.013,true
4,1,2,3,9,18,1,70,0.013,true
5,1,1,7,3,18,1,70,0.013,true
6,1,3,7,3,18,1,70,0.013,true
7,1,0,2,0,18,1,70,0.014,true
8,1,0,2,0,18,1,70,0.015,true
9,1,1,2,0,18,1,70,0.014,true
10,1,2,6,2,18,1,70,0.015,true
11,1,4,9,5,18,1,70,0.014,true
12,1,0,2,0,18,1,70,0.014,true
13,2,10,4,0,18,9,529,0.167,true
14,3,17,7,6,18,36,13038,7.612,true
15,1,0,1,0,18,1,70,0.025,true
16,2,6,10,11,18,33,679,0.318,true
17,2,4,11,4,18,9,579,0.277,true
18,1,4,10,7,18,1,70,0.028,true
19,1,4,11,7,18,1,70,0.027,true
20,3,9,19,8,18,70,29136,21.78,true
21,3,7,16,6,18,32,8426,5.973,true
22,1,2,3,0,18,1,70,0.028,true
23,1,5,8,6,18,1,70,0.028,true
24,2,5,11,9,18,2,103,0.045,true
25,2,6,15,8,18,40,2001,1.056,true
26,2,7,16,8,18,22,1299,0.712,true
27,1,6,14,10,18,1,70,0.029,true
28,1,5,10,10,18,1,70,0.028,true
29,2,4,8,8,18,21,531,0.289,true
30,2,9,12,8,18,38,1460,0.801,true
31,1,8,10,10,18,1,70,0.03,true
32,2,8,10,12,18,5,261,0.138,true
33,3,8,9,11,18,53,7115,5.146,true
34,3,8,17,9,18,52,5856,4.323,true
35,2,4,10,9,18,11,284,0.163,true
36,2,9,11,9,18,53,1755,1.028,true
37,2,8,10,9,18,31,1189,0.672,true
38,3,10,8,11,18,65,20657,15.936,true
39,3,10,9,12,18,47,10552,8.286,true
40,3,9,11,12,18,7,849,0.582,true
41,1,9,12,11,18,1,70,0.03,true
42,3,8,13,9,18,16,2251,1.736,true
43,2,17,4,7,18,19,695,0.41,true
44,2,24,5,12,18,51,1784,1.099,true
45,1,8,4,7,18,1,23,0.013,true
