Window,Num threads,Num Variables,Num locks,Num unique good writes,Num mmaps,Max stack size,Max seen size,Time taken (sec),Window result
0,2,6,1,19,1,11,421,0.003,true
1,2,6,1,21,3,11,246,0.006,true
2,2,6,1,19,3,30,451,0.012,true
3,2,6,1,21,3,33,410,0.011,true
4,2,6,1,17,3,24,286,0.007,true
5,2,6,1,19,3,18,237,0.006,true
6,2,6,1,17,3,18,359,0.01,true
7,2,6,1,18,3,20,242,0.006,true
8,3,6,1,21,3,26,604,0.018,true
9,3,6,1,16,3,31,670,0.02,true
10,3,6,1,19,3,29,846,0.027,true
11,3,6,1,15,3,31,900,0.03,true
12,4,6,1,15,3,35,1953,0.063,true
13,4,5,1,15,3,41,2296,0.073,true
14,4,5,1,13,3,35,1341,0.043,true
15,4,5,1,15,3,46,2499,0.079,true
16,4,6,1,15,3,26,709,0.022,true
17,4,6,1,15,3,32,3047,0.091,true
18,4,5,1,13,3,29,2086,0.062,true
19,4,5,1,15,3,25,1552,0.045,true
20,4,5,1,15,3,30,2269,0.068,true
21,4,5,1,15,3,30,2196,0.064,true
22,4,5,1,14,3,28,1509,0.044,true
23,4,5,1,14,3,30,1708,0.051,true
24,4,5,1,13,3,30,1471,0.043,true
25,4,5,1,16,3,29,1094,0.033,true
26,4,5,1,15,3,30,1446,0.044,true
27,4,5,1,16,3,31,1470,0.044,true
28,4,5,1,16,3,28,1271,0.037,true
29,4,5,1,14,3,31,1070,0.034,true
30,4,5,1,16,3,24,800,0.024,true
31,4,5,1,18,3,20,692,0.02,true
32,4,6,1,15,3,28,758,0.023,true
33,4,6,1,15,3,30,2343,0.069,true
34,4,5,1,14,3,27,2274,0.065,true
35,4,5,1,15,3,30,1816,0.053,true
36,4,5,1,14,3,30,2209,0.065,true
37,4,5,1,15,3,29,1534,0.045,true
38,4,5,1,14,3,30,1509,0.045,true
39,4,5,1,15,3,31,1875,0.056,true
40,4,6,1,14,3,29,509,0.016,true
41,4,6,1,22,3,31,924,0.03,true
42,4,6,1,13,3,30,560,0.018,true
43,4,6,1,15,3,38,2031,0.064,true
44,4,5,1,14,3,31,3120,0.093,true
45,4,5,1,13,3,29,1701,0.05,true
46,4,5,1,14,3,30,1466,0.043,true
47,4,5,1,15,3,31,1917,0.057,true
48,4,5,1,15,3,30,1684,0.048,true
49,4,5,1,16,3,33,2606,0.077,true
50,4,5,1,13,3,32,2329,0.07,true
51,4,5,1,17,3,25,437,0.013,true
52,4,5,1,13,3,30,998,0.033,true
53,4,5,1,14,3,33,1968,0.063,true
54,4,5,1,13,3,30,923,0.028,true
55,4,5,1,14,3,33,1749,0.055,true
56,4,5,1,13,3,29,1089,0.033,true
57,4,6,1,15,3,42,2561,0.078,true
58,4,6,1,15,3,27,1649,0.053,true
59,4,6,1,18,3,29,877,0.027,true
60,4,6,1,17,3,27,720,0.022,true
61,4,6,1,15,3,29,1374,0.043,true
62,4,5,1,16,3,27,760,0.024,true
63,4,5,1,15,3,27,1026,0.03,true
64,4,6,1,12,3,28,971,0.029,true
65,3,6,1,17,3,30,1044,0.032,true
66,3,6,1,17,3,34,1021,0.034,true
67,3,6,1,16,3,22,698,0.021,true
68,3,6,1,18,3,32,531,0.017,true
69,3,6,1,16,3,32,1026,0.032,true
70,3,6,1,17,3,34,892,0.027,true
71,3,6,1,17,3,27,823,0.026,true
72,3,6,1,18,3,27,693,0.022,true
73,3,6,1,17,3,29,339,0.011,true
74,3,6,1,17,3,28,502,0.016,true
75,3,6,1,16,3,27,796,0.025,true
76,3,6,1,18,3,31,694,0.021,true
77,3,6,1,19,3,23,443,0.013,true
78,3,6,1,17,3,19,288,0.008,true
79,3,6,1,17,3,33,812,0.025,true
80,3,6,1,18,3,26,651,0.021,true
81,3,6,1,18,3,26,869,0.028,true
82,3,6,1,17,3,33,654,0.02,true
83,3,6,1,17,3,22,810,0.025,true
84,3,6,1,18,3,19,534,0.016,true
85,3,6,1,17,3,25,541,0.016,true
86,3,6,1,14,3,25,730,0.021,true
87,3,6,1,17,3,25,744,0.023,true
88,3,6,1,19,3,20,350,0.01,true
89,3,6,1,18,3,31,669,0.021,true
