Fork 1  0
Begin  0 0
Acq 0 51 0
Rel 0 51 0
Acq 0 51 0
Rel 0 51 0
Acq 0 51 0
Rel 0 51 0
Acq 0 51 0
Rel 0 51 0
Acq 0 51 0
Rel 0 51 0
Acq 0 51 0
Rel 0 51 0
Acq 0 51 0
Rel 0 51 0
Write 0 X_186 21
Acq 0 51 0
Rel 0 51 0
Write 0 X_186 67
Acq 0 51 0
Rel 0 51 0
Write 0 X_187 84
Acq 0 51 0
Rel 0 51 0
Write 0 X_187 7
Acq 0 51 0
Rel 0 51 0
Acq 0 51 0
Rel 0 51 0
Acq 0 51 0
Rel 0 51 0
Acq 0 51 0
Rel 0 51 0
Acq 0 51 0
Rel 0 51 0
Write 0 X_188 74
Acq 0 51 0
Rel 0 51 0
Write 0 X_188 23
Acq 0 51 0
Rel 0 51 0
Acq 0 51 0
Rel 0 51 0
Write 0 X_189 80
Acq 0 51 0
Rel 0 51 0
Write 0 X_189 68
Acq 0 51 0
Rel 0 51 0
Write 0 X_190 68
Write 0 X_191 66
Acq 0 51 0
Rel 0 51 0
Write 0 X_191 42
Write 0 X_190 98
Acq 0 51 0
Rel 0 51 0
Acq 0 51 0
Rel 0 51 0
Acq 0 51 0
Rel 0 51 0
Acq 0 51 0
Rel 0 51 0
Acq 0 51 0
Rel 0 51 0
Acq 0 51 0
Rel 0 51 0
Acq 0 51 0
Rel 0 51 0
Acq 0 51 0
Rel 0 51 0
Acq 0 51 0
Rel 0 51 0
Acq 0 51 0
Rel 0 51 0
Acq 0 51 0
Rel 0 51 0
Acq 0 51 0
Rel 0 51 0
Acq 0 51 0
Rel 0 51 0
Acq 0 51 0
Rel 0 51 0
Acq 0 51 0
Rel 0 51 0
Acq 0 51 0
Rel 0 51 0
Acq 0 51 0
Rel 0 51 0
Acq 0 51 0
Rel 0 51 0
Acq 0 51 0
Rel 0 51 0
Acq 0 51 0
Rel 0 51 0
Acq 0 51 0
Rel 0 51 0
Acq 0 51 0
Rel 0 51 0
Acq 0 51 0
Rel 0 51 0
Acq 0 51 0
Rel 0 51 0
Acq 0 51 0
Rel 0 51 0
Acq 0 51 0
Rel 0 51 0
Acq 0 51 0
Rel 0 51 0
Acq 0 51 0
Rel 0 51 0
Acq 0 51 0
Rel 0 51 0
Acq 0 51 0
Rel 0 51 0
Acq 0 51 0
Rel 0 51 0
Acq 0 51 0
Rel 0 51 0
Acq 0 51 0
Rel 0 51 0
Acq 0 51 0
Rel 0 51 0
Acq 0 51 0
Rel 0 51 0
Acq 0 51 0
Rel 0 51 0
Acq 0 51 0
Rel 0 51 0
Acq 0 51 0
Rel 0 51 0
Acq 0 51 0
Rel 0 51 0
Acq 0 51 0
Rel 0 51 0
